language,text,time,id,originalId,details,clean_reviews
en,Awesome food,2011-05-06,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306,"['awesome', 'food']"
en,Awesome food,2011-05-06,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306,"['awesome', 'food']"
en,Why is this marked as a medical center? Haha it's a restaurant.,2011-12-29,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306,"['marked', 'medical', 'center', 'haha', 'restaurant']"
en,"Sadly they got the order badly wrong. They made up for it by offering free dessert. Even with that, the food was ok, there are better places.",2013-09-24,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306,"['sadly', 'got', 'order', 'badly', 'wrong', 'made', 'offering', 'free', 'dessert', 'even', 'food', 'ok', 'better', 'places']"
en,Did u know the author of The Windows in the Willows was a Secretary of The Bank of England?,2011-05-11,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['know', 'author', 'windows', 'willows', 'secretary', 'bank', 'england']"
en,Not worth going unless you want to see old currency. Sadly deficient on the policy work the Bank does and what they do have is hopelessly slanted.,2012-01-06,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['worth', 'going', 'unless', 'want', 'see', 'old', 'currency', 'sadly', 'deficient', 'policy', 'work', 'bank', 'hopelessly', 'slanted']"
en,Being closed at weekends and bank holidays does limit your visiting options.  Lots of old banknotes and the chance to touch a gold bar.,2012-01-22,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['closed', 'weekends', 'bank', 'holidays', 'limit', 'visiting', 'options', 'lots', 'old', 'banknotes', 'chance', 'touch', 'gold', 'bar']"
en,"Housed inside the former Stock Offices of the Bank of England, this engaging and surprisingly lively museum explores the history of the national bank.",2012-02-23,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['housed', 'inside', 'former', 'stock', 'offices', 'bank', 'england', 'engaging', 'surprisingly', 'lively', 'museum', 'explores', 'history', 'national', 'bank']"
en,"Tacked on to the end of the Bank of England, this museum is housed in a replica Sir John Soane interior, the largest of its kind in the world.",2012-03-27,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['tacked', 'end', 'bank', 'england', 'museum', 'housed', 'replica', 'sir', 'john', 'soane', 'interior', 'largest', 'kind', 'world']"
en,Really interesting and FREE: no free samples ;),2012-04-26,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['really', 'interesting', 'free', 'free', 'samples']"
en,Figure out the combination to the £50 safe for a free pin from the front desk.,2013-07-02,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['figure', 'combination', 'safe', 'free', 'pin', 'front', 'desk']"
en,"Go in an Open Day, the interior is beautiful. The museum is just OK.",2013-07-13,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['go', 'open', 'day', 'interior', 'beautiful', 'museum', 'ok']"
en,"It's more interesting than you might think. And you get to lift a genuine bar of gold, worth hundreds of thousands of pounds.",2013-09-19,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537,"['interesting', 'might', 'think', 'get', 'lift', 'genuine', 'bar', 'gold', 'worth', 'hundreds', 'thousands', 'pounds']"
en,Grab a chair because rain can ruin your tour. Price 12 pounds too expensive for a 30 mins tour to pier.,2011-08-21,35549,4ac518cef964a52006a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35549,"['grab', 'chair', 'rain', 'ruin', 'tour', 'price', 'pounds', 'expensive', 'mins', 'tour', 'pier']"
