language,text,time,id,originalId,details
en,Awesome food,2011-05-06,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306
en,Awesome food,2011-05-06,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306
en,Why is this marked as a medical center? Haha it's a restaurant.,2011-12-29,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306
ca,Its a pub / restaurant,2012-08-03,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306
en,"Sadly they got the order badly wrong. They made up for it by offering free dessert. Even with that, the food was ok, there are better places.",2013-09-24,35306,4ac518bef964a52005a320e3,http://tour-pedia.org/api/getPlaceDetails?id=35306
en,Did u know the author of The Windows in the Willows was a Secretary of The Bank of England?,2011-05-11,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,Not worth going unless you want to see old currency. Sadly deficient on the policy work the Bank does and what they do have is hopelessly slanted.,2012-01-06,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,Being closed at weekends and bank holidays does limit your visiting options.  Lots of old banknotes and the chance to touch a gold bar.,2012-01-22,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,"Housed inside the former Stock Offices of the Bank of England, this engaging and surprisingly lively museum explores the history of the national bank.",2012-02-23,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,"Tacked on to the end of the Bank of England, this museum is housed in a replica Sir John Soane interior, the largest of its kind in the world.",2012-03-27,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,Really interesting and FREE: no free samples ;),2012-04-26,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
nl,Can be seen in 30-60 mins,2013-03-14,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
es,El secreto de las monedas inglesas.,2013-04-01,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,Figure out the combination to the £50 safe for a free pin from the front desk.,2013-07-02,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,"Go in an Open Day, the interior is beautiful. The museum is just OK.",2013-07-13,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
ja,BOE併設の博物館ですが、土日はお休みです…,2013-09-18,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,"It's more interesting than you might think. And you get to lift a genuine bar of gold, worth hundreds of thousands of pounds.",2013-09-19,35537,4ac518cdf964a520e7a520e3,http://tour-pedia.org/api/getPlaceDetails?id=35537
en,Grab a chair because rain can ruin your tour. Price 12 pounds too expensive for a 30 mins tour to pier.,2011-08-21,35549,4ac518cef964a52006a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35549
en,"The city views from the Thames are one of a kind. If you want to cover more ground, their new Rail Red Rover pass includes a day of unlimited access to the Docklands Light Railway and river cruises.",2011-10-26,35549,4ac518cef964a52006a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35549
en,Well worth the money if you ride all the way to Greenwich Pier. Even the most anti-tourist tourist will enjoy the ride through the Docklands.,2013-07-10,35549,4ac518cef964a52006a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35549
en,"London Pass allows you one 24h hop on, hop off ticket. Enjoy (face price: 17,50)",2013-09-26,35549,4ac518cef964a52006a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35549
it,Crociera sul Tamigi verso Greenwich spettacolare,2013-10-26,35549,4ac518cef964a52006a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35549
en,"Did you know? Lloyd's has a unique niche in insurance, laying claim to some of the most unusual policies, inc. Tina Turner's legs, Troy Polamalu's hair and America Ferrera's smile for $10M. How odd!",2010-12-07,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,The epicenter of the Insurance Industry...a fantastic institution with a great history behind it,2011-02-02,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,Really interesting building style and a must visit place for students....,2011-02-04,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,Amazing building! Awesome work culture. Definitely would want to work here.,2011-02-17,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,"Lloyd’s history can be traced to 1688, when Edward Lloyd kept a coffeehouse on Tower Street (or, from 1692, on Lombard Street).",2011-08-03,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,Lloyds of London moved into the most expensive building in London 298 years after being founded. Note the silver boxes on the side are actually loo pods supplied by a nuclear industry contractor.,2011-08-09,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,amazing building inside and out,2011-09-19,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,Definitely a must visit. Architectural marvel,2011-10-24,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,"While Lloyd's the insitution - an insurance and reinsurance market- has been around since 1688, the Richard Rogers-designed steel and glass building, built in 1986, has become a modern City icon",2012-03-29,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,The Lloyd's staff who work in 'The Room' are officially referred to as 'waiters' harking back to the days when Lloyd's was a coffee house.,2012-06-22,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,"If you know someone who works here and can get you into the cafe, it's well worth it. Buffet-style tasty food.",2012-08-15,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,Modern architecture!,2012-12-29,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,Make a claim!,2013-08-04,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,I hear it's been bought by Chineese guys.,2013-08-23,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
ja,保険発祥のロイズはこちら。ビルは工場のような斬新なデザイン。,2013-09-18,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,"Pingan, the Chinese financial conglomerate is the proud new owner of this amazing building.",2013-10-21,35554,4ac518cef964a5200da620e3,http://tour-pedia.org/api/getPlaceDetails?id=35554
en,Check out the nose sticking out of the wall of one of the arches.,2010-10-28,35556,4ac518cef964a52012a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35556
en,John Prescott used to have a private flat here. Fact.,2011-03-01,35556,4ac518cef964a52012a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35556
en,Drive through on a regular basis.,2012-02-26,35556,4ac518cef964a52012a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35556
en,Watch the Royal Park Foundation Half Marathon runners rush underneath this as they begin their length of The Mall,2012-10-01,35556,4ac518cef964a52012a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35556
en,Frank Skinner keeps a tropical fishtank here with some of Astle's essence in it.,2012-12-22,35556,4ac518cef964a52012a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35556
en,"Landmark building which incorporates an archway providing access between The Mall, which extends to the South-West, and Trafalgar Sq to the North-East. John Prescott used to have a private flat here.",2013-01-13,35556,4ac518cef964a52012a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35556
en,"Go to the 34th Floor which revolves. Go just before dusk so you can see the London skyline in daylight, dusk and night. The metamorphosis is breath-taking.",2010-06-07,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,if you are a BT employee volunteer for the telethon and you get to see the views as well as doing something worthwhile,2010-07-06,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,"The view of the old Middlesex Hospital site is bizarre, with just the chapel building remaining in the middle of a wasteland.",2011-04-11,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,"One of the taller structures in southeastern England, it was erected in 1961–65 to the architectural designs of Eric Bedford. Including its crowning 40-foot mast, the tower rises to 620 feet",2011-08-03,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,"Until 1993 the location of Telecom Tower was an official secret, having or taking any photos of the tower was a breach of the Official Secrets Act, it was even omitted from all maps.",2011-08-10,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,If you ever get a chance to go up to the revolving restaurant I highly recommend it.,2011-10-15,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,There used to be a restaurant up top!,2011-12-04,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,The best view of London I know.,2012-07-01,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,Spectacular Views of the best city in the world.,2013-06-26,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,Should be open to the public to enjoy a view of London.,2013-07-06,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
en,"As Gerry Lane is reunited with his family in Nova Scotia, we see a fly-by of the BT Tower in the final scenes of World War Z (2013).",2013-09-28,35561,4ac518cef964a52018a620e3,http://tour-pedia.org/api/getPlaceDetails?id=35561
